ID Produit Cave,Nom Produit (la-cave-privee),URL Produit Cave,Statut,Score Matching (%),Nom Produit Corniche,Fichier Image Local,URL Image Corniche (originale)
39,Vodka SACHA Fraise - 70cl,https://www.la-cave-privee.com/fr/products/vodka-sacha-fraise-70cl/details?sm=spiritueux-importes,✅ Matché,75.0,VODKA SAVAGE RABBIT 70 CL,vodka_savage_rabbit_70_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/10/Savage_Rabbit__02267-410x540.png
40,Vodka SACHA Vanille  - 70cl,https://www.la-cave-privee.com/fr/products/vodka-sacha-vanille-70cl/details?sm=spiritueux-importes,✅ Matché,65.3,VODKA SAVAGE RABBIT 70 CL,vodka_savage_rabbit_70_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/10/Savage_Rabbit__02267-410x540.png
41,Whisky CROWN - 9cl,https://www.la-cave-privee.com/fr/products/whisky-crown-whisky-96-x-90-ml-/details?sm=spiritueux-importes,✅ Matché,65.0,PANTHA WHISKY COLA 33 CL,pantha_whisky_cola_33_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/10/PANTHA-WHISKY-COLA-410x540.png
42,Whisky RADICO GOLD Premium - 9cl,https://www.la-cave-privee.com/fr/products/whisky-radico-gold-premium-9cl-/details?sm=spiritueux-importes,❌ Non trouvé,,,,
43,Whisky ROYAL WHYTEHALL DELUXE  - 9cl,https://www.la-cave-privee.com/fr/products/whisky-royal-whytehall-deluxe-9cl/details?sm=spiritueux-importes,❌ Non trouvé,,,,
44,1947 PREMIUM - ROUGE - 75cl,https://www.la-cave-privee.com/fr/products/1947-premium-rouge-75cl/details?sm=vins-locaux,✅ Matché,69.8,PRESTIGE ROUGE 75 CL,prestige_rouge_75_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/PRESTIGE-ROUGE-75-CL-1-1-410x540.png
45,APHRODITE - BLANC - 75CL,https://www.la-cave-privee.com/fr/products/aphrodite-blanc-75cl/details?sm=vins-locaux,✅ Matché,76.9,APHRODITE ROSE 75CL,aphrodite_rose_75cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/APHRODITE-ROSE-75CL-2-1-410x540.png
46,APHRODITE - ROSE - 75CL,https://www.la-cave-privee.com/fr/products/aphrodite-rose-75cl/details?sm=vins-locaux,✅ Matché,100.0,APHRODITE ROSE 75CL,aphrodite_rose_75cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/APHRODITE-ROSE-75CL-2-1-410x540.png
47,APHRODITE - ROUGE - 75CL,https://www.la-cave-privee.com/fr/products/aphrodite-rouge-75cl/details?sm=vins-locaux,✅ Matché,100.0,APHRODITE ROUGE 75CL,aphrodite_rouge_75cl.jpg,https://boissonlacorniche.com/wp-content/uploads/2025/03/APHRODITE-ROUGE-75CL-410x540.jpg
48,"Blanc Tradition Blanc 37,5cl",https://www.la-cave-privee.com/fr/products/blanc-tradition-blanc-375cl/details?sm=vins-locaux,✅ Matché,68.1,MAGON BLANC 37.5 CL,magon_blanc_37_5_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/MAGON-BLANC-37.5-CL-1-410x540.png
